DateTime,Entries,UniqueIPs
1540463335,3,3
1540497149,2,2
1540508935,3,3
1540526482,2,2
1540549952,1,1
1540593865,0,0
1540637097,1,1
1540660605,2,2
1540678595,3,3
1540741014,2,2
1540746778,1,1
1540762369,0,0
1540868173,1,1
1540884268,2,2
1540888355,3,3
1540916016,4,4
1540945960,5,5
1540956044,6,6
1540959883,7,7
1540967818,6,6
1540969712,5,5
1540973560,4,4
1541002615,3,3
1541016773,4,4
1541032350,3,3
1541041969,2,2
1541045834,1,1
1541049862,2,2
1541103158,1,1
1541133148,0,0
1541274312,1,1
1541285936,2,2
1541326822,3,3
1541344109,4,4
1541361260,3,3
1541373162,2,2
1541418532,1,1
1541430261,0,0
1541468682,1,1
1541474415,2,2
1541541396,4,4
1541555548,3,3
1541559398,2,2
1541578824,3,3
1541627550,2,2
1541629480,1,1
1541662107,0,0
1541737943,1,1
1541810451,2,2
1541824829,1,1
1541861779,2,2
1541875465,3,3
1541897335,2,2
1541922525,3,3
1541955862,2,2
1541961641,1,1
1541975298,2,2
1542008428,1,1
1542058843,0,0
1542079452,1,1
1542100826,2,2
1542139968,3,3
1542167304,2,2
1542187003,1,1
1542224344,0,0
1542242661,1,1
1542246497,2,2
1542328837,1,1
1542330776,0,0
1542334593,1,1
1542420113,0,0
1542479556,1,1
1542485292,2,2
1542493493,3,3
1542495400,4,4
1542505236,5,5
1542567698,4,4
1542579394,3,3
1542583219,2,2
1542585166,1,1
1542612030,2,2
1542625472,1,1
1542695303,0,0
1542840503,1,1
1542858033,2,2
1542875574,3,3
1542883221,4,4
1542924262,5,5
1542928108,4,4
1542950893,3,3
1542962422,2,2
1542970106,1,1
1543009707,0,0
1543047626,1,1
1543069243,2,2
1543113875,3,3
1543133789,2,2
1543147461,3,3
1543157307,2,2
1543178664,3,3
1543188253,4,4
1543195718,5,5
1543217095,6,6
1543254764,5,5
1543262922,4,4
1543274430,3,3
1543280180,2,2
1543288127,3,3
1543291955,2,2
1543303482,1,1
1543330363,2,2
1543344524,3,3
1543374350,2,2
1543417321,1,1
1543428999,0,0
1543440011,1,1
1543522114,2,2
1543527894,1,1
1543607063,0,0
1543637545,1,1
1543652894,2,2
1543724202,1,1
1543737720,0,0
1543820191,1,1
1543904451,0,0
1543908277,1,1
1544001893,2,2
1544047965,1,1
1544085884,0,0
1544127654,1,1
1544236831,2,2
1544272153,1,1
1544338905,0,0
1544345549,1,1
1544392105,2,2
1544432944,1,1
1544478034,0,0
1544583147,1,1
1544600926,2,2
1544670137,1,1
1544685881,0,0
1544796523,1,1
1544820498,2,2
1544909542,1,1
1544930908,2,2
1544952044,1,1
1545015938,0,0
1545151940,1,1
1545171854,2,2
1545177874,3,3
1545191772,4,4
1545258520,3,3
1545260546,2,2
1545266443,1,1
1545276287,0,0
1545378759,1,1
1545463703,0,0
1545510013,1,1
1545595742,0,0
1545745699,8,8
1545747658,18,18
1545869568,1,1
1545875534,2,2
1545879372,3,3
1545887319,4,4
1545948299,5,5
1545961700,4,4
1545965545,3,3
1545967479,2,2
1545971788,3,3
1545973702,2,2
1545987395,3,3
1546010900,4,4
1546034172,3,3
1546070516,2,2
1546072354,1,1
1546074280,2,2
1546095720,1,1
1546123013,2,2
1546160681,1,1
1546206283,0,0
1546319784,1,1
1546337116,2,2
1546407626,1,1
1546421567,0,0
1546533616,1,1
1546582618,3,3
1546620796,2,2
1546640465,3,3
1546667787,2,2
1546726362,1,1
1546730204,2,2
1546734029,1,1
1546762163,2,2
1546803337,3,3
1546837016,2,2
1546838960,3,3
1546848532,2,2
1546890067,1,1
1546893910,2,2
1546925096,1,1
1546926994,2,2
1546978853,1,1
1547033585,0,0
1547036140,1,1
1547040532,3,3
1547123576,2,2
1547125492,0,0
1547162428,1,1
1547184034,2,2
1547222986,3,3
1547235163,4,4
1547249598,3,3
1547271394,2,2
1547295653,3,3
1547309840,2,2
1547319683,2,2
1547381569,1,1
1547403619,0,0
1547414415,1,1
1547416349,2,2
1547438515,3,3
1547446338,4,4
1547452656,5,5
1547502278,3,3
1547524909,2,2
1547532782,2,2
1547540680,1,1
1547590377,2,2
1547592287,21,21
1547619869,20,20
1547676766,0,0
1547791959,1,1
1547799677,2,2
1547885142,1,1
1547904776,0,0
1548024808,1,1
1548137340,2,2
1548187954,1,1
1548199726,2,2
1548219154,3,3
1548225158,2,2
1548287582,1,1
1548303194,0,0
1548697000,1,1
1548710916,2,2
1548764907,4,4
1548772822,5,5
1548784609,4,4
1548797086,3,3
1548851122,1,1
1548857090,0,0
1548881318,1,1
1548901001,2,2
1548915142,3,3
1548967721,2,2
1548987667,1,1
1549013091,2,2
1549022688,1,1
1549116993,2,2
1549150851,1,1
1549187545,2,2
1549203422,1,1
1549294608,0,0
1549324851,1,1
1549410753,0,0
1549433569,1,1
1549447279,2,2
1549521180,1,1
1549536755,0,0
1549627944,1,1
1549635626,2,2
1549714855,1,1
1549720589,0,0
1549800781,1,1
1549808451,2,2
1549888353,1,1
1549896101,0,0
1550006433,1,1
1550091909,0,0
1550254127,1,1
1550306419,2,2
1550337516,3,3
1550341954,3,3
1550358345,4,4
1550391166,3,3
1550423811,2,2
1550427764,1,1
1550442986,0,0
1550552685,1,1
1550597303,2,2
1550611687,3,3
1550617974,4,4
1550637621,5,5
1550639572,4,4
1550699561,3,3
1550707368,2,2
1550724980,1,1
1550738656,0,0
1550995473,1,1
1551034092,3,3
1551052392,4,4
1551054287,5,5
1551083584,4,4
1551085485,5,5
1551093385,6,6
1551095334,7,7
1551121150,6,6
1551138753,5,5
1551144530,4,4
1551171771,3,3
1551179580,0,0
1551185076,1,1
1551186973,2,2
1551217940,3,3
1551272676,2,2
1551282393,1,1
1551304121,1,1
1551387162,0,0
1551400376,1,1
1551415688,2,2
1551431072,3,3
1551487943,2,2
1551501888,1,1
1551515551,0,0
1551529971,1,1
1551531878,2,2
1551688136,1,1
1551701551,0,0
1551776927,1,1
1551862099,0,0
1551915141,1,1
1551990054,2,2
1552003727,1,1
1552074991,0,0
1552092285,1,1
1552177232,0,0
1552290009,1,1
1552291934,3,3
1552313082,4,4
1552377178,2,2
1552379075,1,1
1552398269,1,1
1552504344,0,0
1552549696,1,1
1552551619,2,2
1552597713,3,3
1552607300,4,4
1552636358,3,3
1552683890,2,2
1552693937,1,1
1552728982,2,2
1552736698,1,1
1552813948,2,2
1552815857,1,1
1552897237,0,0
1552956018,1,1
1553040748,0,0
1553071708,1,1
1553166978,2,2
1553220750,1,1
1553251705,0,0
1553298014,1,1
1553383471,0,0
1553565678,1,1
1553590570,2,2
1553619910,3,3
1553677006,2,2
1553678897,3,3
1553705552,2,2
1553724736,1,1
1553763793,0,0
1553862994,1,1
1553943884,2,2
1553949863,1,1
1553990177,2,2
1554031242,1,1
1554074016,0,0
1554091741,1,1
1554177178,0,0
1554197079,1,1
1554282292,0,0
1554391253,1,1
1554477629,0,0
1554533564,1,1
1554629777,0,0
1554672268,1,1
1554710018,2,2
1554723674,3,3
1554725562,8,8
1554727464,9,9
1554735170,10,10
1554746934,11,11
1554748822,12,12
1554760365,11,11
1554797797,10,10
1554811410,4,4
1554815307,3,3
1554822986,2,2
1554834493,1,1
1554964353,1,1
1555050021,0,0
1555318093,1,1
1555360837,2,2
1555405966,1,1
1555413651,2,2
1555448699,1,1
1555454754,2,2
1555460441,3,3
1555499799,2,2
1555501708,3,3
1555513383,4,4
1555534602,5,5
1555540879,4,4
1555546592,3,3
1555566034,4,4
1555587870,3,3
1555599391,2,2
1555607066,3,3
1555620765,4,4
1555622661,3,3
1555626149,4,4
1555653142,3,3
1555693946,2,2
1555705460,1,1
1555709334,0,0
1555969220,1,1
1555973053,2,2
1556012418,3,3
1556057087,2,2
1556059345,1,1
1556096180,0,0
1556130487,1,1
1556154156,2,2
1556167498,3,3
1556217399,2,2
1556302127,0,0
1556320613,1,1
1556345541,2,2
1556408670,1,1
1556430019,0,0
1556580999,1,1
1556657325,2,2
1556670020,1,1
1556687554,2,2
1556704960,3,3
1556745158,2,2
1556758380,3,3
1556773732,2,2
1556789363,4,4
1556791384,3,3
1556845938,2,2
1556874165,0,0
1556936198,1,1
1556999788,2,2
1557022828,1,1
1557084500,0,0
1557180113,1,1
1557181964,2,2
1557183889,3,3
1557214097,4,4
1557264979,5,5
1557266898,3,3
1557268810,2,2
1557300739,1,1
1557350689,0,0
1557481245,1,1
1557567018,0,0
1557952594,1,1
1558038269,0,0
1558347632,1,1
1558366831,2,2
1558434041,1,1
1558451327,0,0
1558502194,1,1
1558561942,2,2
1558583301,3,3
1558589060,2,2
1558594950,3,3
1558649008,2,2
1558652944,3,3
1558654872,4,4
1558658664,5,5
1558660597,6,6
1558668285,7,7
1558670195,8,8
1558674189,10,10
1558676187,11,11
1558681961,11,11
1558683887,12,12
1558691797,13,13
1558693720,15,15
1558740030,14,14
1558747701,13,13
1558755399,12,12
1558757327,11,11
1558761149,10,10
1558763087,9,9
1558766927,8,8
1558779680,6,6
